station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,week,weekday,quarter,holiday,blackfriday
8,2012-03-28,79.0,63.0,66.01239673556915,7.777777777777778,63.0,65.0,4.092723290421506,5.181205175264835,,,RA BR VCTS,0.0,0.01,29.63,29.93666666666667,3.3,15.0,3.5,2012,3,28,13,2,1,,
9,2012-03-28,55.0,40.0,48.0,7.777777777777778,34.0,41.0,17.0,0.0,,, ,0.0,0.0,29.26,30.0,8.7,31.0,9.5,2012,3,28,13,2,1,,
10,2012-03-28,84.0,61.0,73.0,7.777777777777778,59.0,64.0,0.0,8.0,621.0,1843.0,FG+ BR HZ,0.0,0.0,30.13,30.14,4.4,15.0,5.8,2012,3,28,13,2,1,,
11,2012-03-28,84.0,53.0,69.0,5.0,57.0,61.0,0.0,4.0,621.0,1843.0,TS FG+ FG BR,0.0,0.0,30.12,30.14,3.0,16.0,4.1,2012,3,28,13,2,1,,
12,2012-03-28,81.0,55.0,68.0,7.777777777777778,60.0,63.0,0.0,3.0,,,FG+ FG,0.0,0.0,30.11,30.15,4.1,15.0,4.7,2012,3,28,13,2,1,,
13,2012-03-28,74.0,37.0,56.0,7.777777777777778,19.0,40.0,9.0,0.0,,, ,0.0,0.0,24.13,29.83,5.0,21.0,6.4,2012,3,28,13,2,1,,
14,2012-03-28,78.0,57.0,68.0,13.0,60.0,64.0,0.0,3.0,623.0,1848.0, ,0.0,0.0,28.53,29.9,14.9,17.0,15.0,2012,3,28,13,2,1,,
15,2012-03-28,46.0,30.0,38.0,0.0,27.0,34.0,27.0,0.0,536.0,1807.0,RA SN,0.0,0.03,29.47,29.8,1.8,14.0,3.4,2012,3,28,13,2,1,,
16,2012-03-28,52.0,32.0,42.0,7.777777777777778,29.0,38.0,23.0,0.0,,,RA,0.0,0.02,29.73,29.78,3.3,16.0,5.2,2012,3,28,13,2,1,,
17,2012-03-28,84.0,57.0,71.0,7.777777777777778,57.0,63.0,0.0,6.0,,, ,0.0,0.0,29.26,29.96,7.3,18.0,7.4,2012,3,28,13,2,1,,
18,2012-03-28,77.0,64.0,71.0,9.0,61.0,65.0,0.0,6.0,621.0,1844.0, ,0.0,0.0,29.46,29.97,9.2,17.0,9.7,2012,3,28,13,2,1,,
19,2012-03-28,64.0,39.0,52.0,13.0,36.0,45.0,13.0,0.0,541.0,1812.0, ,0.0,0.0,29.18,29.91,11.6,31.0,14.3,2012,3,28,13,2,1,,
20,2012-03-28,79.0,63.0,71.0,7.777777777777778,61.0,64.0,0.0,6.0,,, ,0.0,0.0,29.26,29.97,6.2,17.0,7.2,2012,3,28,13,2,1,,
1,2012-03-29,46.0,39.0,43.0,7.666666666666668,32.0,38.0,22.0,0.0,,,RA,0.0,0.02,29.55,29.76,6.0,35.0,7.6,2012,3,29,13,3,1,,
2,2012-03-29,49.0,36.0,43.0,4.0,32.0,38.0,22.0,0.0,536.0,1810.0,RA,0.0,0.01,28.61,29.74,12.0,32.0,12.8,2012,3,29,13,3,1,,
3,2012-03-29,81.0,57.0,69.0,13.0,58.0,63.0,0.0,4.0,614.0,1842.0, ,0.0,0.0,29.11,29.82,10.2,17.0,10.7,2012,3,29,13,3,1,,
4,2012-03-29,81.0,64.0,73.0,8.0,66.0,68.0,0.0,8.0,624.0,1847.0,BR,0.0,0.0,29.17,29.86,2.3,16.0,3.5,2012,3,29,13,3,1,,
6,2012-03-29,81.0,63.0,72.0,9.0,66.0,68.0,0.0,7.0,624.0,1847.0,RA BR,0.0,0.0,29.33,29.86,5.1,17.0,5.6,2012,3,29,13,3,1,,
7,2012-03-29,80.0,61.0,71.0,7.666666666666668,60.0,64.0,0.0,6.0,,,BR,0.0,0.0,28.46,29.8,13.0,18.0,15.0,2012,3,29,13,3,1,,
8,2012-03-29,77.0,68.0,66.72198785600212,7.666666666666668,63.0,66.0,3.606266765728937,5.406617131150545,,,RA BR HZ,0.0,0.04,29.52,29.86888888888889,5.2,15.0,5.2,2012,3,29,13,3,1,,
9,2012-03-29,60.0,39.0,50.0,7.666666666666668,36.0,43.0,15.0,0.0,,,RA,0.0,0.19,29.19,29.97,9.7,11.0,9.9,2012,3,29,13,3,1,,
10,2012-03-29,87.0,66.0,77.0,7.666666666666668,58.0,65.0,0.0,12.0,620.0,1844.0, ,0.0,0.0,30.0,30.02,4.6,18.0,6.5,2012,3,29,13,3,1,,
11,2012-03-29,86.0,60.0,73.0,9.0,57.0,63.0,0.0,8.0,620.0,1844.0, ,0.0,0.0,29.98,30.02,3.2,25.0,4.7,2012,3,29,13,3,1,,
12,2012-03-29,86.0,59.0,73.0,7.666666666666668,59.0,64.0,0.0,8.0,,,BR,0.0,0.0,29.98,30.02,2.0,22.0,4.7,2012,3,29,13,3,1,,
13,2012-03-29,69.0,43.0,56.0,7.666666666666668,18.0,40.0,9.0,0.0,,, ,0.0,0.0,24.12,29.79,1.2,19.0,6.8,2012,3,29,13,3,1,,
14,2012-03-29,79.0,60.0,70.0,15.0,60.0,63.0,0.0,5.0,622.0,1848.0,BR,0.0,0.0,28.46,29.81,11.4,18.0,12.3,2012,3,29,13,3,1,,
15,2012-03-29,44.0,34.0,39.0,1.0,29.0,35.0,26.0,0.0,534.0,1809.0,RA,0.0,0.0,29.34,29.75,9.9,32.0,10.2,2012,3,29,13,3,1,,
16,2012-03-29,45.0,36.0,41.0,7.666666666666668,33.0,38.0,24.0,0.0,,,RA BR,0.0,0.02,29.57,29.72,7.0,34.0,7.9,2012,3,29,13,3,1,,
17,2012-03-29,81.0,55.0,68.0,7.666666666666668,57.0,62.0,0.0,3.0,,, ,0.0,0.0,29.18,29.87,6.1,18.0,6.2,2012,3,29,13,3,1,,
18,2012-03-29,80.0,62.0,71.0,9.0,63.0,65.0,0.0,6.0,620.0,1845.0,BR,0.0,0.0,29.34,29.86,7.4,16.0,8.3,2012,3,29,13,3,1,,
19,2012-03-29,43.0,36.0,40.0,1.0,32.0,36.0,25.0,0.0,539.0,1813.0, ,0.0,0.0,29.34,30.11,10.6,5.0,11.1,2012,3,29,13,3,1,,
20,2012-03-29,78.0,60.0,69.0,7.666666666666668,63.0,65.0,0.0,4.0,,,BR,0.0,0.0,29.15,29.86,6.1,15.0,6.9,2012,3,29,13,3,1,,
1,2012-03-30,50.0,34.0,42.0,8.222222222222221,15.0,33.0,23.0,0.0,,, ,0.0,0.0,29.82,30.0,7.9,32.0,8.5,2012,3,30,13,4,1,,
2,2012-03-30,48.0,29.0,39.0,0.0,14.0,31.0,26.0,0.0,534.0,1811.0,SN,0.0,0.0,28.87,29.99,7.0,32.0,8.3,2012,3,30,13,4,1,,
3,2012-03-30,84.0,61.0,73.0,17.0,60.0,65.0,0.0,8.0,613.0,1843.0,BR,0.0,0.0,29.06,29.76,7.1,18.0,7.7,2012,3,30,13,4,1,,
4,2012-03-30,84.0,68.0,76.0,11.0,66.0,69.0,0.0,11.0,623.0,1848.0,BR,0.0,0.0,29.13,29.81,3.7,17.0,5.3,2012,3,30,13,4,1,,
6,2012-03-30,82.0,66.0,74.0,11.0,66.0,69.0,0.0,9.0,623.0,1848.0,BR HZ,0.0,0.0,29.29,29.81,7.1,17.0,7.5,2012,3,30,13,4,1,,
7,2012-03-30,80.0,60.0,70.0,8.222222222222221,59.0,63.0,0.0,5.0,,,BR,0.0,0.0,28.43,29.78,5.3,19.0,6.1,2012,3,30,13,4,1,,
8,2012-03-30,81.0,68.0,67.60269334047823,8.222222222222221,63.0,67.0,2.8490175684311434,5.534059481625216,,,HZ,0.0,0.0,29.48,29.87833333333333,4.1,17.0,4.4,2012,3,30,13,4,1,,
9,2012-03-30,51.0,39.0,45.0,8.222222222222221,39.0,42.0,20.0,0.0,,,HZ,0.0,0.0,29.08,29.86,5.8,12.0,6.3,2012,3,30,13,4,1,,
10,2012-03-30,87.0,66.0,77.0,8.222222222222221,59.0,65.0,0.0,12.0,619.0,1844.0, ,0.0,0.0,29.97,29.99,5.0,17.0,5.8,2012,3,30,13,4,1,,
11,2012-03-30,86.0,55.0,71.0,7.0,59.0,64.0,0.0,6.0,619.0,1844.0,HZ FU,0.0,0.0,29.96,29.99,3.0,17.0,4.1,2012,3,30,13,4,1,,
12,2012-03-30,85.0,57.0,71.0,8.222222222222221,60.0,64.0,0.0,6.0,,, ,0.0,0.0,29.96,30.0,2.8,16.0,3.8,2012,3,30,13,4,1,,
13,2012-03-30,74.0,39.0,57.0,8.222222222222221,20.0,41.0,8.0,0.0,,, ,0.0,0.0,24.13,29.79,2.7,16.0,4.7,2012,3,30,13,4,1,,
14,2012-03-30,80.0,59.0,70.0,15.0,60.0,63.0,0.0,5.0,620.0,1849.0,BR,0.0,0.0,28.43,29.78,5.2,17.0,6.9,2012,3,30,13,4,1,,
15,2012-03-30,47.0,29.0,38.0,0.0,13.0,30.0,27.0,0.0,532.0,1810.0, ,0.0,0.0,29.59,29.99,9.6,32.0,10.4,2012,3,30,13,4,1,,
16,2012-03-30,49.0,32.0,41.0,8.222222222222221,17.0,33.0,24.0,0.0,,, ,0.0,0.0,29.85,29.97,8.2,31.0,9.1,2012,3,30,13,4,1,,
17,2012-03-30,85.0,59.0,72.0,8.222222222222221,59.0,63.0,0.0,7.0,,,BR,0.0,0.0,29.12,29.81,4.2,19.0,5.0,2012,3,30,13,4,1,,
18,2012-03-30,83.0,68.0,76.0,14.0,66.0,68.0,0.0,11.0,618.0,1845.0,RA BR HZ,0.0,0.0,29.28,29.8,9.3,16.0,10.1,2012,3,30,13,4,1,,
19,2012-03-30,41.0,37.0,39.0,-1.0,35.0,37.0,26.0,0.0,538.0,1814.0,TSRA RA BR,0.0,0.38,29.12,29.89,9.4,8.0,11.5,2012,3,30,13,4,1,,
20,2012-03-30,81.0,67.0,74.0,8.222222222222221,66.0,68.0,0.0,9.0,,,BR,0.0,0.0,29.08,29.79,7.6,15.0,8.2,2012,3,30,13,4,1,,
1,2012-03-31,48.0,33.0,41.0,7.666666666666668,27.0,35.0,24.0,0.0,,, ,0.011111111111111113,0.0,29.82,29.97,4.0,7.0,5.1,2012,3,31,13,5,1,,
2,2012-03-31,41.0,32.0,37.0,-2.0,29.0,33.0,28.0,0.0,532.0,1812.0,SN BR,0.1,0.04,28.84,29.94,2.9,5.0,5.6,2012,3,31,13,5,1,,
3,2012-03-31,85.0,60.0,73.0,17.0,62.0,66.0,0.0,8.0,612.0,1844.0,BR HZ,0.0,0.0,29.05,29.77,5.6,17.0,6.0,2012,3,31,13,5,1,,
4,2012-03-31,88.0,65.0,77.0,12.0,66.0,69.0,0.0,12.0,622.0,1849.0,BR,0.0,0.0,29.13,29.8,3.5,17.0,5.7,2012,3,31,13,5,1,,
6,2012-03-31,87.0,61.0,74.0,11.0,67.0,69.0,0.0,9.0,622.0,1848.0,BCFG BR,0.0,0.0,29.29,29.8,7.6,18.0,7.8,2012,3,31,13,5,1,,
7,2012-03-31,84.0,58.0,71.0,7.666666666666668,63.0,66.0,0.0,6.0,,,FG+ BR HZ,0.0,0.0,28.41,29.77,6.5,17.0,7.0,2012,3,31,13,5,1,,
8,2012-03-31,86.0,68.0,69.10452643498256,7.666666666666668,59.30689610016813,62.92590483025477,1.666386972703821,5.850725910663946,,,HZ,0.0,0.0,29.49,29.848888888888887,5.60071022938726,17.939912396787385,7.0,2012,3,31,13,5,1,,
9,2012-03-31,51.0,42.0,47.0,7.666666666666668,42.0,45.0,18.0,0.0,,,BR HZ,0.0,0.0,29.03,29.82,9.8,14.0,10.1,2012,3,31,13,5,1,,
10,2012-03-31,76.0,66.0,71.0,7.666666666666668,62.0,65.0,0.0,6.0,618.0,1845.0,TS TSRA RA,0.011111111111111113,1.3,29.88,29.9,5.3,22.0,6.9,2012,3,31,13,5,1,,
11,2012-03-31,76.0,62.0,69.0,5.0,63.0,64.0,0.0,4.0,617.0,1845.0,TS TSRA RA FG BR,0.0,0.73,29.86,29.9,4.4,22.0,6.6,2012,3,31,13,5,1,,
12,2012-03-31,74.0,63.0,69.0,7.666666666666668,63.0,65.0,0.0,4.0,,,TSRA RA BR SQ,0.0,0.82,29.87,29.9,3.3,22.0,4.3,2012,3,31,13,5,1,,
13,2012-03-31,80.0,42.0,61.0,7.666666666666668,24.0,44.0,4.0,0.0,,, ,0.011111111111111113,0.0,24.05,29.68,8.9,17.0,10.4,2012,3,31,13,5,1,,
14,2012-03-31,83.0,58.0,71.0,15.0,62.0,65.0,0.0,6.0,619.0,1850.0,FG+ BR HZ,0.0,0.0,28.41,29.78,4.8,16.0,5.5,2012,3,31,13,5,1,,
15,2012-03-31,49.0,28.0,39.0,0.0,22.0,32.0,26.0,0.0,530.0,1811.0, ,0.0,0.0,29.59,29.96,0.9,2.0,1.9,2012,3,31,13,5,1,,
16,2012-03-31,45.0,29.0,37.0,7.666666666666668,29.0,35.0,28.0,0.0,,, ,0.011111111111111113,0.0,29.85,29.94,3.6,6.0,5.0,2012,3,31,13,5,1,,
17,2012-03-31,86.0,57.0,72.0,7.666666666666668,61.0,65.0,0.0,7.0,,,BR,0.0,0.0,29.12,29.82,2.1,18.0,2.7,2012,3,31,13,5,1,,
18,2012-03-31,85.0,66.0,76.0,13.0,65.0,69.0,0.0,11.0,617.0,1846.0,BR,0.0,0.0,29.27,29.79,9.2,17.0,9.6,2012,3,31,13,5,1,,
19,2012-03-31,40.0,36.0,38.0,-2.0,33.0,36.0,27.0,0.0,536.0,1815.0,BR,0.0,0.0,29.17,29.96,5.6,12.0,7.3,2012,3,31,13,5,1,,
20,2012-03-31,85.0,66.0,76.0,7.666666666666668,66.0,68.0,0.0,11.0,,,BR,0.0,0.0,29.08,29.78,6.1,16.0,6.9,2012,3,31,13,5,1,,
1,2012-04-01,53.0,29.0,41.0,10.0,31.0,37.0,24.0,0.0,,,RA BR,0.0,0.15,29.64,29.77,1.7,20.0,2.9,2012,4,1,13,6,2,,
2,2012-04-01,48.0,32.0,40.0,0.0,33.0,37.0,25.0,0.0,531.0,1813.0,RA BR,0.0,0.19,28.67,29.75,6.3,26.0,7.3,2012,4,1,13,6,2,,
3,2012-04-01,90.0,66.0,78.0,21.0,63.0,68.0,0.0,13.0,610.0,1844.0,BR,0.0,0.0,28.89,29.59,16.5,17.0,16.0,2012,4,1,13,6,2,,
4,2012-04-01,87.0,68.0,78.0,12.0,66.0,69.0,0.0,13.0,621.0,1849.0,HZ,0.0,0.0,29.06,29.74,4.3,17.0,6.8,2012,4,1,13,6,2,,
6,2012-04-01,86.0,67.0,77.0,13.0,67.0,70.0,0.0,12.0,620.0,1849.0,BR,0.0,0.0,29.22,29.74,10.8,18.0,10.9,2012,4,1,13,6,2,,
7,2012-04-01,88.0,65.0,77.0,10.0,61.0,67.0,0.0,12.0,,,BR,0.0,0.0,28.22,29.56,19.9,18.0,19.7,2012,4,1,13,6,2,,
8,2012-04-01,84.0,66.0,68.90306245521673,10.0,65.0,68.0,1.7886505255294445,5.773777613463332,,,BR HZ,0.0,0.0,29.43,29.70222222222223,7.5,17.0,7.6,2012,4,1,13,6,2,,
9,2012-04-01,67.0,46.0,57.0,10.0,42.0,48.0,8.0,0.0,,,BR,0.0,0.0,28.92,29.68,9.9,11.0,9.8,2012,4,1,13,6,2,,
10,2012-04-01,88.0,63.0,76.0,10.0,59.0,65.0,0.0,11.0,616.0,1845.0, ,0.0,0.01,29.83,29.86,6.7,27.0,7.4,2012,4,1,13,6,2,,
11,2012-04-01,86.0,58.0,72.0,8.0,60.0,64.0,0.0,7.0,616.0,1846.0,BR,0.0,0.0,29.83,29.86,5.5,28.0,6.0,2012,4,1,13,6,2,,
12,2012-04-01,87.0,63.0,75.0,10.0,61.0,66.0,0.0,10.0,,,BR,0.0,0.0,29.82,29.87,4.0,30.0,4.9,2012,4,1,13,6,2,,
13,2012-04-01,81.0,49.0,47.193269460566476,10.0,12.0,43.0,18.220164742846514,0.488560233065992,,, ,0.0,0.0,23.8,29.34,14.1,21.0,15.3,2012,4,1,13,6,2,,
14,2012-04-01,88.0,64.0,76.0,20.0,61.0,67.0,0.0,11.0,617.0,1851.0,BR,0.0,0.0,28.23,29.58,16.7,18.0,16.9,2012,4,1,13,6,2,,
15,2012-04-01,52.0,22.0,37.0,-2.0,27.0,34.0,28.0,0.0,529.0,1812.0,RA,0.0,0.07,29.39,29.75,1.7,24.0,2.7,2012,4,1,13,6,2,,
16,2012-04-01,52.0,27.0,40.0,10.0,32.0,36.0,25.0,0.0,,,RA BR,0.0,0.17,29.67,29.74,3.4,16.0,4.1,2012,4,1,13,6,2,,
17,2012-04-01,90.0,60.0,75.0,10.0,63.0,67.0,0.0,10.0,,,BR,0.0,0.0,28.95,29.64,10.5,18.0,10.2,2012,4,1,13,6,2,,
18,2012-04-01,87.0,68.0,78.0,15.0,66.0,70.0,0.0,13.0,616.0,1847.0,BR,0.0,0.0,29.18,29.69,15.2,17.0,14.7,2012,4,1,13,6,2,,
19,2012-04-01,48.0,37.0,43.0,3.0,39.0,41.0,22.0,0.0,534.0,1816.0,BR HZ,0.0,0.0,29.04,29.79,7.7,3.0,8.2,2012,4,1,13,6,2,,
20,2012-04-01,86.0,68.0,77.0,10.0,65.0,69.0,0.0,12.0,,,BR HZ,0.0,0.0,28.99,29.69,11.1,17.0,11.1,2012,4,1,13,6,2,,
1,2012-04-02,55.0,37.0,46.0,10.0,23.0,37.0,19.0,0.0,,,RA,0.0,0.03,29.52,29.7,10.1,34.0,10.8,2012,4,2,14,0,2,,
2,2012-04-02,50.0,33.0,42.0,2.0,22.0,34.0,23.0,0.0,529.0,1814.0, ,0.0,0.0,28.58,29.7,11.8,35.0,12.1,2012,4,2,14,0,2,,
3,2012-04-02,84.0,62.0,73.0,16.0,61.0,66.0,0.0,8.0,609.0,1845.0, ,0.0,0.0,28.95,29.63,13.6,16.0,14.1,2012,4,2,14,0,2,,
4,2012-04-02,86.0,70.0,78.0,12.0,66.0,70.0,0.0,13.0,619.0,1850.0,BR,0.0,0.0,28.94,29.62,6.1,15.0,8.1,2012,4,2,14,0,2,,
6,2012-04-02,85.0,64.0,75.0,11.0,67.0,70.0,0.0,10.0,619.0,1849.0,BCFG BR,0.0,0.0,29.1,29.61,9.9,16.0,10.5,2012,4,2,14,0,2,,
7,2012-04-02,83.0,66.0,61.11713382550838,10.0,60.0,65.0,6.206636073425852,2.16201628290014,,,TSRA,0.0,0.0,28.29,29.59,17.9,17.0,19.4,2012,4,2,14,0,2,,
8,2012-04-02,82.0,70.0,68.97482221796223,10.0,66.0,69.0,2.170056054769761,6.2281399806951745,,,HZ VCTS,0.0,0.0,29.3,29.718333333333334,8.9,16.0,9.8,2012,4,2,14,0,2,,
9,2012-04-02,70.0,49.0,60.0,10.0,41.0,50.0,5.0,0.0,,,TSRA,0.0,0.31,29.02,29.75,11.3,11.0,12.6,2012,4,2,14,0,2,,
10,2012-04-02,92.0,67.0,80.0,10.0,58.0,66.0,0.0,15.0,615.0,1846.0, ,0.0,0.01,29.83,29.86,8.0,27.0,8.6,2012,4,2,14,0,2,,
11,2012-04-02,90.0,63.0,77.0,13.0,61.0,66.0,0.0,12.0,615.0,1846.0,BR,0.0,0.0,29.82,29.86,6.7,28.0,7.6,2012,4,2,14,0,2,,
12,2012-04-02,90.0,65.0,78.0,10.0,60.0,67.0,0.0,13.0,,,BR,0.0,0.0,29.82,29.86,6.3,28.0,7.5,2012,4,2,14,0,2,,
13,2012-04-02,58.0,32.0,47.37014057151888,10.0,29.0,35.0,18.368386589274195,0.8132512583554673,,,SN BR,0.0,0.05,24.17,29.87,19.4,36.0,19.8,2012,4,2,14,0,2,,
14,2012-04-02,83.0,59.0,71.0,15.0,61.0,65.0,0.0,6.0,616.0,1852.0,TSRA,0.0,0.03,28.3,29.6,16.3,17.0,17.5,2012,4,2,14,0,2,,
15,2012-04-02,52.0,31.0,42.0,2.0,21.0,35.0,23.0,0.0,527.0,1813.0,RA,0.0,0.01,29.32,29.71,9.9,33.0,10.1,2012,4,2,14,0,2,,
16,2012-04-02,54.0,34.0,44.0,10.0,25.0,36.0,21.0,0.0,,,RA BR,0.0,0.05,29.54,29.67,8.6,34.0,9.2,2012,4,2,14,0,2,,
17,2012-04-02,85.0,61.0,73.0,10.0,60.0,66.0,0.0,8.0,,, ,0.0,0.0,29.02,29.67,9.9,17.0,10.4,2012,4,2,14,0,2,,
18,2012-04-02,84.0,68.0,76.0,13.0,65.0,68.0,0.0,11.0,614.0,1847.0, ,0.0,0.0,29.15,29.65,14.0,14.0,15.2,2012,4,2,14,0,2,,
19,2012-04-02,52.0,42.0,47.0,6.0,37.0,42.0,18.0,0.0,532.0,1818.0, ,0.0,0.0,29.2,29.94,10.9,10.0,11.8,2012,4,2,14,0,2,,
20,2012-04-02,84.0,68.0,76.0,10.0,65.0,68.0,0.0,11.0,,, ,0.0,0.01,28.95,29.64,11.8,15.0,12.2,2012,4,2,14,0,2,,
1,2012-04-03,59.0,31.0,45.0,7.125162769731505,11.0,34.0,20.0,0.0,,, ,0.0,0.0,29.62,29.77,8.2,32.0,8.5,2012,4,3,14,1,2,,
2,2012-04-03,55.0,30.0,43.0,3.0,9.0,32.0,22.0,0.0,527.0,1815.0, ,0.0,0.0,28.69,29.78,10.4,32.0,10.7,2012,4,3,14,1,2,,
3,2012-04-03,73.0,60.0,67.0,10.0,57.0,61.0,0.0,2.0,607.0,1846.0,RA,0.0,0.0,29.1,29.8,1.8,17.0,6.5,2012,4,3,14,1,2,,
4,2012-04-03,86.0,63.0,75.0,9.0,64.0,68.0,0.0,10.0,618.0,1850.0,TS RA BR,0.0,0.08,29.08,29.73,1.8,14.0,4.8,2012,4,3,14,1,2,,
6,2012-04-03,86.0,58.0,72.0,8.0,66.0,69.0,0.0,7.0,618.0,1850.0,BR HZ,0.0,0.07,29.24,29.73,4.1,16.0,7.1,2012,4,3,14,1,2,,
7,2012-04-03,66.0,56.0,61.0,7.125162769731505,56.0,58.0,4.0,0.0,,,RA BR VCTS,0.0,0.56,28.45,29.79,5.4,2.0,6.8,2012,4,3,14,1,2,,
8,2012-04-03,82.0,64.0,68.1290670064546,7.125162769731505,66.0,70.0,2.8368506631435397,6.044676073304175,,,TS RA HZ VCTS,0.0,0.0,29.39,29.84891156283605,5.1,15.0,6.8,2012,4,3,14,1,2,,
9,2012-04-03,64.0,44.0,54.0,7.125162769731505,36.0,45.0,11.0,0.0,,, ,0.0,0.01,29.28,30.01,9.1,1.0,9.4,2012,4,3,14,1,2,,
10,2012-04-03,90.0,69.0,80.0,7.125162769731505,64.0,69.0,0.0,15.0,614.0,1847.0,TS,0.0,0.0,29.9,29.92,1.5,13.0,6.4,2012,4,3,14,1,2,,
11,2012-04-03,89.0,61.0,75.0,11.0,64.0,68.0,0.0,10.0,614.0,1847.0,TS FG+ BR HZ,0.0,0.13,29.88,29.93,1.4,18.0,5.6,2012,4,3,14,1,2,,
12,2012-04-03,88.0,67.0,78.0,7.125162769731505,64.0,68.0,0.0,13.0,,,TS TSRA BR,0.0,0.06,29.88,29.93,1.2,11.0,5.6,2012,4,3,14,1,2,,
13,2012-04-03,32.0,29.0,31.0,7.125162769731505,30.0,31.0,34.0,0.0,,,SN FZFG BR,0.0,0.6,24.3,30.21,12.0,34.0,13.3,2012,4,3,14,1,2,,
14,2012-04-03,65.0,55.0,60.0,4.0,56.0,58.0,5.0,0.0,615.0,1853.0,TSRA RA BR,0.0,0.8,28.43,29.900408131048945,5.0,1.0,9.8,2012,4,3,14,1,2,,
15,2012-04-03,57.0,23.0,44.609260086781596,4.126464927583538,10.0,32.0,20.554381358573927,0.25394853232350895,525.0,1814.0, ,0.0,0.0,29.41,29.77,11.4,32.0,11.6,2012,4,3,14,1,2,,
16,2012-04-03,58.0,30.0,44.0,7.125162769731505,12.0,33.0,21.0,0.0,,, ,0.0,0.0,29.65,29.74,8.9,32.0,9.2,2012,4,3,14,1,2,,
17,2012-04-03,73.0,57.0,65.0,7.125162769731505,56.0,59.0,0.0,0.0,,,RA,0.0,0.01,29.15,29.84,0.7,13.0,2.7,2012,4,3,14,1,2,,
18,2012-04-03,78.0,62.0,70.0,7.0,65.0,66.0,0.0,5.0,613.0,1848.0,TSRA BR,0.0,0.49,29.26,29.75,4.8,12.0,8.0,2012,4,3,14,1,2,,
19,2012-04-03,53.0,44.0,49.0,8.0,39.0,43.0,16.0,0.0,531.0,1819.0, ,0.0,0.0,29.21,29.94,6.6,5.0,10.7,2012,4,3,14,1,2,,
20,2012-04-03,76.0,59.0,68.0,7.125162769731505,65.0,66.0,0.0,3.0,,,RA BR HZ,0.0,0.9,29.07,29.74,2.9,12.0,6.4,2012,4,3,14,1,2,,
1,2012-04-04,63.0,38.0,51.0,5.111111111111111,22.0,39.0,14.0,0.0,,, ,0.0,0.02,29.44,29.59,7.9,30.0,8.7,2012,4,4,14,2,2,,
2,2012-04-04,59.0,36.0,48.0,7.0,22.0,37.0,17.0,0.0,526.0,1816.0, ,0.0,0.02,28.52,29.6,11.8,29.0,12.7,2012,4,4,14,2,2,,
3,2012-04-04,72.0,56.0,64.0,7.0,51.0,57.0,1.0,0.0,606.0,1847.0, ,0.0,0.0,29.03,29.74,6.3,23.0,7.7,2012,4,4,14,2,2,,
4,2012-04-04,85.0,57.0,71.0,5.0,53.0,60.0,0.0,6.0,617.0,1851.0, ,0.0,0.0,29.13,29.81,0.1,12.0,4.2,2012,4,4,14,2,2,,
6,2012-04-04,83.0,52.0,68.0,4.0,54.0,59.0,0.0,3.0,617.0,1851.0, ,0.0,0.0,29.29,29.8,0.7,36.0,3.1,2012,4,4,14,2,2,,
7,2012-04-04,65.0,50.0,58.0,5.111111111111111,49.0,52.0,7.0,0.0,,,RA BR,0.0,0.01,28.43,29.79,7.6,27.0,8.6,2012,4,4,14,2,2,,
8,2012-04-04,79.0,61.0,68.69222032172178,5.111111111111111,61.0,64.0,2.630599939709465,6.402200985951108,,,BR HZ VCTS,0.0,0.0,29.46,29.79,1.7,36.0,2.5,2012,4,4,14,2,2,,
9,2012-04-04,63.0,38.0,51.0,5.111111111111111,27.0,42.0,14.0,0.0,,, ,0.0,0.0,29.26,30.03,5.5,6.0,6.4,2012,4,4,14,2,2,,
10,2012-04-04,90.0,71.0,81.0,5.111111111111111,62.0,68.0,0.0,16.0,613.0,1847.0, ,0.0,0.0,29.85,29.85,7.5,25.0,8.3,2012,4,4,14,2,2,,
11,2012-04-04,88.0,65.0,77.0,13.0,64.0,68.0,0.0,12.0,613.0,1847.0,RA,0.0,0.0,29.83,29.85,7.0,24.0,7.2,2012,4,4,14,2,2,,
12,2012-04-04,88.0,67.0,78.0,5.111111111111111,63.0,68.0,0.0,13.0,,, ,0.0,0.0,29.83,29.85,6.0,26.0,6.5,2012,4,4,14,2,2,,
13,2012-04-04,58.0,32.0,45.0,5.111111111111111,34.0,39.0,20.0,0.0,,,SN,0.0,0.0,24.13,29.95,2.1,18.0,5.0,2012,4,4,14,2,2,,
14,2012-04-04,65.0,49.0,57.0,0.0,48.0,52.0,8.0,0.0,613.0,1853.0,BR,0.0,0.0,28.43,29.79,8.8,27.0,10.2,2012,4,4,14,2,2,,
15,2012-04-04,59.0,30.0,45.0,5.0,22.0,37.0,20.0,0.0,523.0,1816.0, ,0.0,0.0,29.22,29.58,9.4,30.0,9.7,2012,4,4,14,2,2,,
16,2012-04-04,63.0,37.0,50.0,5.111111111111111,21.0,39.0,15.0,0.0,,, ,0.0,0.02,29.47,29.56,9.0,30.0,9.3,2012,4,4,14,2,2,,
17,2012-04-04,73.0,55.0,64.0,5.111111111111111,51.0,56.0,1.0,0.0,,, ,0.0,0.0,29.1,29.79,2.8,23.0,4.2,2012,4,4,14,2,2,,
